2025-Oct-13 15:26:50, EnergyPlus Completed Successfully-- 81 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 10.10sec,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.idf,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\database\weather\Ahmedabad\Ahmedabad_2014.epw,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2,,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2Meter.csv,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2Table.csv,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2Table.html,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.rdd,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.mdd,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.eio,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.svg,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.mtd,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2Zsz.csv,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2Ssz.csv,,,,,,,,,,,,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.shd,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.audit,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.bnd,,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.eso,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.mtr,,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.rvaudit,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.sql,,,,,,,,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.err,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.csv,
2025-Oct-13 15:27:42, EnergyPlus Completed Successfully-- 81 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  9.96sec,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.idf,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\database\weather\Ahmedabad\Ahmedabad_2015.epw,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2,,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2Meter.csv,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2Table.csv,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2Table.html,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.rdd,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.mdd,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.eio,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.svg,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.mtd,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2Zsz.csv,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2Ssz.csv,,,,,,,,,,,,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.shd,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.audit,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.bnd,,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.eso,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.mtr,,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.rvaudit,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.sql,,,,,,,,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.err,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.csv,
2025-Oct-13 15:28:41, EnergyPlus Completed Successfully-- 81 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  9.72sec,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.idf,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\database\weather\Ahmedabad\Ahmedabad_2019.epw,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2,,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2Meter.csv,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2Table.csv,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2Table.html,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.rdd,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.mdd,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.eio,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.svg,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.mtd,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2Zsz.csv,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2Ssz.csv,,,,,,,,,,,,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.shd,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.audit,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.bnd,,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.eso,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.mtr,,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.rvaudit,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.sql,,,,,,,,,,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.err,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\IDF\Commercial_building_Daytime_v2.csv,
2025-Oct-14 13:10:07, EnergyPlus Completed Successfully-- 85 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  9.35sec,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2.idf,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\database\weather\Ahmedabad\Ahmedabad_2014.epw,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2,,,,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2Meter.csv,,,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2Table.csv,,,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2Table.html,,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2.rdd,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2.mdd,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2.eio,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2.svg,,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2.mtd,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2Zsz.csv,,,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2Ssz.csv,,,,,,,,,,,,,,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2.shd,,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2.audit,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2.bnd,,,,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2.eso,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2.mtr,,,,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2.rvaudit,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2.sql,,,,,,,,,,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2.err,D:\Grid Model Testing\IDF\Commercial_building_Daytime_v2.csv,
2025-Oct-14 13:23:50, EnergyPlus Terminated--Fatal Error Detected. 75 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  0.38sec,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.idf,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\database\weather\Ahmedabad\Ahmedabad_2014.epw,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC,,,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBCMeter.csv,,,,,,,,,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.eio,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.svg,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.mtd,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBCZsz.csv,,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBCSsz.csv,,,,,,,,,,,,,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.shd,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.audit,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.bnd,,,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.eso,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.mtr,,,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.rvaudit,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.sql,,,,,,,,,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.err,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.csv,
2025-Oct-14 13:46:16, EnergyPlus Terminated--Fatal Error Detected. 75 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  0.48sec,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.idf,D:\Grid Model Testing\NKJ_Upd\GridLab-Model-nikunj-update\database\weather\Ahmedabad\Ahmedabad_2014.epw,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC,,,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBCMeter.csv,,,,,,,,,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.eio,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.svg,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.mtd,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBCZsz.csv,,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBCSsz.csv,,,,,,,,,,,,,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.shd,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.audit,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.bnd,,,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.eso,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.mtr,,,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.rvaudit,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.sql,,,,,,,,,,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.err,D:\Grid Model Testing\testing\Office\Commercial_building_Daytime_v2_ECBC.csv,
